text;count
<!DOCTYPE html>;1
<html>;1
</html>;1
<head>;1
</head>;1
<title>;1
</title>;1
<meta charset="utf-8">;1
<meta name="viewport" content="width=device-width, initial-scale=1" />;1
<link rel="icon" href="/favicon.ico" />;1
<meta>;2
<link>;3
<style>;1
</style>;1
<body>;1
</body>;1
<header>;1
</header>;1
<main>;1
</main>;1
<footer>;1
</footer>;1
<h1>;1
</h1>;1
<h2>;2
</h2>;2
<h3>;3
</h3>;3
<p>;10
</p>;10
<span>;5
</span>;5
<div>;12
</div>;12
<a href="          ">;10
</a>;10
<img src="          " alt="          ">;5
<b>;5
</b>;5
<i>;5
</i>;5
<ul>;2
</ul>;2
<ol>;1
</ol>;1
<li>;10
</li>;10
<br>;10
<hr>;5
<pre>;1
</pre>;1
<table>;2
</table>;2
<tr>;10
</tr>;10
<th>;6
</th>;6
<td>;16
</td>;16
<iframe src="          ">;1
</iframe>;1
<form>;1
</form>;1
<input>;5
</input>;5
<select>;2
</select>;2
<option>;6
</option>;6
<textarea>;1
</textarea>;1
